Fecha,Contenido,Ubicacion,Servicio,Red_Social
2021-10-22 23:52:52+00:00,@MundarayZair @ClaroColombia En España (soy comunitario con pasaporte italiano) en 2018 la empleada de un banco me dijo que no podía darme una tarjeta de crédito porque soy latino y podía irme sin pagar. Cabe destacar que tenia meses con mi negocio con amplio margen de beneficios.,"Valencia, España",tarjeta de crédito,Twitter
2021-10-22 23:00:08+00:00,"PAGO POR MEDIO DE PayU para seguridad en tu compra.
Pagos con tarjeta de crédito, recibimos todas las tarjetas
Incluída la tarjeta Codensa
Perfume Armaf Club De Nuit Milestone Mujer 105 Ml Original (Entrega Inmediata)
******$ 394.900,00 ******
EL MEJOR PRECIO Y LLEGA A LA PUERTA https://t.co/uRNmHK4Ehz","Bogotá, Colombia",tarjeta de crédito,Twitter
2021-10-22 23:00:01+00:00,"Tarjeta de crédito: ¿Cuándo te conviene usarla y en que ocasiones no?
https://t.co/XrQEBDWtKq https://t.co/DcBu4PFw4g",México,tarjeta de crédito,Twitter
2021-10-22 22:57:20+00:00,Fui al Citibanamex por una tarjeta de crédito pa comprar los boletos pa los Strokes el lunes y se activa hasta el miércoles 🤡🤡🤡,"Tabasco, México",tarjeta de crédito,Twitter
2021-10-22 22:28:40+00:00,Me da miedo usar mi tarjeta de crédito 😵‍💫,Mexico ,tarjeta de crédito,Twitter
2021-10-22 22:19:47+00:00,Se siente tan bien cancelar una tarjeta de crédito 🤍,"Medellín, Colombia",tarjeta de crédito,Twitter
2021-10-22 22:02:10+00:00,"Comprar ropa para entrenar es la mejor motivación, no lo vean como un gasto sino como una inversión. 

-Camila justificando que acabó de usar su tarjeta de crédito en gastos innecesarios.",Colombia,tarjeta de crédito,Twitter
2021-10-22 22:00:13+00:00,no me envía una foto de su tarjeta de crédito por las dos caras 🚩🚩🚩🚩,"Xàtiva, España",tarjeta de crédito,Twitter
2021-10-22 22:00:09+00:00,"PAGO POR MEDIO DE PayU para seguridad en tu compra.
Pagos con tarjeta de crédito, recibimos todas las tarjetas
Incluída la tarjeta Codensa
Test-hd X60 Capsulas Healthy Sports (Entrega Inmediata)
******$ 49.900,00 ******
EL MEJOR PRECIO Y LLEGA A LA PUERTA DE TU CASA.
Recibimos to https://t.co/JZSO4fO15m","Bogotá, Colombia",tarjeta de crédito,Twitter
2021-10-22 21:53:18+00:00,"El Thyssen tiene varios pósters muy rebajados en su tienda online y yo soy una loca de decorar mis paredes, que alguien me quite la tarjeta de crédito","Madrid, España",tarjeta de crédito,Twitter
2021-10-22 21:39:40+00:00,"Tiembla, tarjeta de crédito… ya hay mercancía bonita de Red de @taylorswift13 😍❤️😍❤️😍❤️😍 https://t.co/irmY0cY6Pe","Guadalajara, México",tarjeta de crédito,Twitter
2021-10-22 21:35:47+00:00,Hoy llegó la tarjeta de crédito y a Felo capitalista hay que dejarlo bajo llave.,Neiva colombia,tarjeta de crédito,Twitter
2021-10-22 21:35:21+00:00,"Me han dao tarjeta de crédito , mañana la pierdo o me gasto todo ya veras","Cartagena, España",tarjeta de crédito,Twitter
2021-10-22 21:31:56+00:00,Nunca compres algo en estás 45 tiendas online. Te van a clonar tu tarjeta de crédito  https://t.co/dQzlpPQClN,"Leon, Gto. México",tarjeta de crédito,Twitter
2021-10-22 21:25:01+00:00,"@FalabellaAyuda Me acaban de robar en la tarjeta de crédito y nadie me contesta, no he podido comunicarme con nadie para reportar el pago. Ayuda por favor!!","Bogotá, D.C., Colombia",tarjeta de crédito,Twitter
2021-10-22 21:21:14+00:00,@momento_moai Mandame una foto de tu tarjeta de crédito por ambos lados y te diseño uno GRATIS,"Murcia, España",tarjeta de crédito,Twitter
2021-10-22 21:17:01+00:00,"@Carlos54376788 ¡Hola Carlos! Lamentamos las molestias, para cuestiones relacionadas con tu tarjeta de crédito te invitamos a comunicarte vía Whatsapp 3313136999, en el teléfono 01(33) 32086558 o en el facebook Bradescard México :)",México,tarjeta de crédito,Twitter
2021-10-22 21:14:38+00:00,Dios me libre de tener una tarjeta de crédito porque la sobrecargo en cada era de Taylor,"Medellín, Colombia",tarjeta de crédito,Twitter
2021-10-22 21:09:16+00:00,"@VenezuelaSaime no tengo dinero en dólares ni tarjeta de crédito extranjera, quiero sacarme el pasaporte y no tengo a nadie que me haga el favor de prestarme nada, solo tengo bolívares puedo sacar mi pasaporte ? Evalúe mi caso por favor.","Madrid, España",tarjeta de crédito,Twitter
2021-10-22 21:00:10+00:00,"PAGO POR MEDIO DE PayU para seguridad en tu compra.
Pagos con tarjeta de crédito, recibimos todas las tarjetas
Incluída la tarjeta Codensa
Carnotaurus 38cm Jurassic World Controla Y Conquista Gjt59 (Entrega Inmediata)
******$ 249.900,00 ******
EL MEJOR PRECIO Y LLEGA A LA PUERTA https://t.co/TCJ9ICKmZ2","Bogotá, Colombia",tarjeta de crédito,Twitter
2021-10-22 20:48:27+00:00,"Me entran llamadas desconocidas yo pensando: es del trabajo que aplique✨
Los bancos: hola buenas tardes queremos ofrecerle la tarjeta de crédito",México.,tarjeta de crédito,Twitter
2021-10-22 20:47:20+00:00,"#EnPerspectiva 
¿Ya estás planeando las vacaciones familiares, pero aún no te han pagado? Adquiere la tarjeta de crédito del @BcoCoopcentral y disfruta con los tuyos sin preocupaciones.
Más info: https://t.co/l91THNw4UT https://t.co/KkROar4GuP","Bogotá, D.C., Colombia",tarjeta de crédito,Twitter
2021-10-22 20:44:06+00:00,"(iii) forma de pago: los #pagos deben efectuarse en efectivo o a través de tarjeta de débito, crédito y otros mecanismos de pago electrónico.",Colombia,tarjeta de crédito,Twitter
2021-10-22 20:43:01+00:00,¡Steam y mi tarjeta de crédito son bien chismosos! 😅#notificacionesmancomunadas,Mexico,tarjeta de crédito,Twitter
